,Company,Experience,Link,Location,Skills,Title
0,Huquo Consulting Pvt. Ltd,8-12 yrs,https://www.naukri.com/job-listings-Operations-Analyst-analytics-Manager-F-A-Huquo-Consulting-Pvt-Ltd-Noida-8-to-12-years-250619900459?src=jobsearchDesk&sid=15614536082908&xp=1&px=1,Noida,"Analytics, Data Mining, Predictive Analytics, Data Modeling, Statistics...",Operations Analyst/analytics Manager - F&A
1,Cognizant Technology Solutions India Ltd,0-1 yrs,https://www.naukri.com/job-listings-Trainee-Junior-DATA-Analyst-Cognizant-Technology-Solutions-India-Ltd-Mumbai-0-to-1-years-240619900764?src=jobsearchDesk&sid=15614536082908&xp=2&px=1,Mumbai,"Team leading, Team Leader, SAS, Life sciences, Computer science...",Trainee - Junior DATA Analyst
2,Confidential,1-4 yrs,https://www.naukri.com/job-listings-Business-Analyst-Data-Analytics-Confidential-Delhi-1-to-4-years-240619902487?src=jobsearchDesk&sid=15614536082908&xp=3&px=1,Delhi,"Data Analytics, Business Analyst, R, Business Intelligence, VBA, SQL...",Business Analyst - Data Analytics
3,SLA Consultants India,0-5 yrs,https://www.naukri.com/job-listings-MIS-Executive-Analyst-Fresher-Data-Analysis-MNC-3-to-6-L-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-230619000106?src=jobsearchDesk&sid=15614536082908&xp=4&px=1,"Delhi NCR, Gurgaon, Noida","analyst, data analysis, fresher, b tech fresher, data management, mis...",MIS Executive / Analyst Fresher / Data Analysis - MNC Job 3 to 6 L
4,Monark India Private Limited,3-5 yrs,https://www.naukri.com/job-listings-MIS-Executive-Monark-India-Private-Limited-Gurgaon-3-to-5-years-060419002257?src=jobsearchDesk&sid=15614536082908&xp=5&px=1,Gurgaon,"Accounting, Auditing, Excel, MIS, Formulas, Invoicing, Deposits...",MIS Executive
5,Exide Life Insurance Company Limited,1-5 yrs,https://www.naukri.com/job-listings-Assistant-Manager-Business-Analyst-Exide-Life-Insurance-Company-Limited-Bengaluru-1-to-5-years-120619006612?src=jobsearchDesk&sid=15614536082908&xp=6&px=1,Bengaluru,"business analysis, r, operational excellence, mis reporting...",Assistant Manager Business Analyst
6,Amazon Development Centre (India) Pvt. Ltd.,2-3 yrs,https://www.naukri.com/job-listings-Data-Analyst-Wireless-Amazon-Development-Centre-India-Pvt-Ltd-Bengaluru-2-to-3-years-250619900406?src=jobsearchDesk&sid=15614536082908&xp=7&px=1,Bengaluru,"Category Management, Data Integrity, Data Analysis, Data Analyst Wireless...",Data Analyst Wireless
7,Resource Weaver,5-8 yrs,https://www.naukri.com/job-listings-Business-Analyst-Telecom-Domain-Resource-Weaver-Mumbai-5-to-8-years-250619900094?src=jobsearchDesk&sid=15614536082908&xp=8&px=1,Mumbai,"Business Analyst, OSS, Telecom, BSS, Billing, CRM, provisioning...",Business Analyst - Telecom Domain
8,Huquo Consulting Pvt. Ltd,3-6 yrs,https://www.naukri.com/job-listings-Senior-Business-Analyst-assistant-Manager-SAS-Retail-Banking-Huquo-Consulting-Pvt-Ltd-Bengaluru-Gurgaon-3-to-6-years-240619900077?src=jobsearchDesk&sid=15614536082908&xp=9&px=1,"Bengaluru, Gurgaon","SAS, Statistical Modeling, Statistics, Analytics, Consulting - BFSI...",Senior Business Analyst/assistant Manager - SAS - Retail & Banking
9,Trianz Holdings Pvt. Ltd.,5-9 yrs,https://www.naukri.com/job-listings-Business-Analyst-Trianz-Holdings-Pvt-Ltd-Hyderabad-5-to-9-years-250619900191?src=jobsearchDesk&sid=15614536082908&xp=10&px=1,Hyderabad,"Requirement Gathering, SQL, Gap Analysis, Business Analysis, UAT, Visio...",Business Analyst
